Text,ans1,ans2,ans3,ans4,ans5,Final
อันนี้แอบหลอน ทางทีมงาน #พี่นาค4 ไปถ่ายทำกันในโบสถ์ร้างที่วัดบางลี่ แต่ทีนี้จังหวะที่ถ่ายกันก็มีเสียงฮัมเพลงแทรกเข้ามา พอมีคนเผลอสบถกันในเขตโบสถ์ก็มีคนได้ยินเสียง ’มึงอยากตายเหรอ‘,4,4,4,4,4,4
#พี่จอง คือพี่ชายที่อบอุ่นที่สุดในโลก🥺🩷  ภาษากายบอกรักฉบับพี่จอง ไม่ต้องพูดว่ารักก็รู้ว่ารัก ,2,2,2,2,2,2
อย่าดีเกินไป อย่าซื่อเกินไป อย่ายอมเกินไป เพราะบางคนเขาไม่มองว่าเราดี แต่เขาคิดว่าเราโง่,0,3,0,3,0,0
บางทีเห็นคนไปเที่ยวแล้วเปิดประชุม zoom ริมทะเล แล้วบอกว่านี่คือ work-life balance ส่วนตัวว่ามันไม่ใช่อ่ะ work-life balance ที่แท้จริงคือควรจะไปเที่ยวได้โดยไม่ต้องเป็นห่วงงานหรือต้องไปนั่งประชุมหรือเปล่านะ 😅,0,0,0,3,0,0
สงสารน้องมาก อีขอทานเขมรใจร้าย ล่ามน้องเป็ดไว้ขอทานแถวซอยคาวบอย จิตใจมึงทำด้วยอะไร ทำไมเหี้ยขนาดนี้ !!!!,3,3,3,3,3,3
ออมอ พี่โดยองถอดสูทด้านนอกออกให้กายองหรออออ กรี้ดดดดดดดดด คือพี่หล่อเกิรรรรรรรรรรㅠㅠㅠㅠㅠㅠㅠ,5,1,1,2,5,5
ชอบ pretty boy ท่อนนี้มาก คือนุนิวมีความศิลปินสูงมาก shine สุดๆความร้องสลับท่อนกับ ฟค. มีจังหวะรับจังหวะโยน มีความเป็นตัวเองที่ร้องไปยิ้มไป มือไม้กำลังพอดี ทุกอย่างลงตัว เสียงก็เพราะ หน้าก็หวาน คือทำถึงมากอะ คือนี่อยากฟังฮีร้องเพลงอีกหมื่นปีเลยค่ะ my pretty boy ✨,1,1,1,1,1,1
โอ้มายก็อตตตต มันเริ่ดมากลูกแม่ มันชอบตอนสะบัดผมมากกกกก,1,1,1,1,1,1
ตอนนั้นก็กลัวจนแม่งง ตอนนี้ก็รักกันจนแม่งงเหมือนกัน 55555555555555 มีจงมีจุ๊บ มีกงมีกอดดดดด 🤣🤣,2,2,2,1,2,2
น่ากลัวชิบหาย เพื่อนแฉพฤติกรรมไอ้ทอย ชอบใช้ความรุนแรงตั้งแต่เด็ก และเคยกรีดหน้าตัวเอง กรีดแขน แล้วกินเลือดตัวเอง มันเป็นปีศาจแล้วไม่ใช่คน,4,4,4,4,4,4
น่ากลัวมาก ไฟไหม้ยกหลัง เจอหนึ่งศพไหม้เกรียม แต่เจ้าของบ้านออกไปข้างนอกพอดี เช็คครอบครัวเช็คญาติอยู่ครบ แล้วศพคือใคร😱,4,4,4,4,4,4
พอเห็นสตอรี่ไอจีโยเกิร์ต ยิ่งสงสารจับใจเลย #โยเกิร์ต #พีเค,0,0,0,0,0,0
ไม่สนับสนุนแต่ตัวเองทำเองฉ้ำ อุงเอิงเลยเอาใหญ่เพราะมีแบล็คหลังให้ไง ทำอะไรโดยไม่แคร์ใครไม่ให้เกียรติ  #อุงเอิง,3,3,3,3,3,3
พึ่งรู้ว่าที่ผ่านมาเธอไม่เคยคิดที่จะจริงจังกับเราเลย... #เศร้า,0,0,0,0,0,0
ทำไมต้องเป็นเรา ที่ต้องเจ็บอยู่ฝ่ายเดียวววว,0,0,0,0,0,0
หลานม่าช่างน่ารักน่าเอ็นดู ยิ้มทีใจละลาย,1,2,2,1,1,1
น่ากลัวโคตร ถ้าเป็นตัวเราเองสภาพจิตใจคงไม่ไหวแล้วอะ ทุกคนดูน่ากลัวเกิน,4,4,4,4,4,4
เรื่องนี้คืออุบัติเหตุบนเครื่องบินที่น่ากลัวมาก,4,4,4,4,4,4
กลัวว่าวันนึงใจจะด้านชาจนรักใครสักคนไม่เป็น,4,4,0,0,4,4
ลีอาย่า ไม่ใช่ความผิดของเธอเลยนะ แต่ฉันคิดถึงเธอมากเลย,2,0,0,0,2,0
ฉันรักเธอมากนะลีอา ขอบคุณที่มานะ,2,2,2,2,2,2
กลัวอ่า~,4,4,4,4,4,4
กูกลัวกดบัตรไม่ได้,4,4,4,4,4,4
แอบตกใจกับเสียงในคลิปที่มีเสียงผญพูดขึ้นมาว่า “คนนี้ดังหรอ” คือไม่รู้เจตนาหรอก แต่ในเมื่อถ้าเป็นสื่อแล้วขอเค้าถ่ายคลิปก็น่าจะศึกษาข้อมูลบ้าง หรือถ้าไม่รู้จักจริงๆก็ควรจะไปถามคนอื่นมั้ย มาพูดต่อหน้าตอนถ่ายเขาอยู่ต่อให้เขาฟังไทยไม่ออกก็เถอะ นิดนึงอะ,5,5,5,5,5,5
ยอมรับว่า ตกใจ,5,5,5,5,5,5
ไม่ต้องขอโทษ ไม่ได้โกรธ แค่เสียใจ,0,0,0,0,0,0
โมโหอารมณ์ร้อน,3,3,3,3,3,3
โมโหแทนน้องมากทั้งอินเอียร์มีปัญหาจนน้ิองต้องเดินมาพูดข้างเวที น้องทุ่มเทอยากให้ออกมาดี ล่ามแปลไม่ครบจนน้องบอกให้ช่วยแปลให้หมด,3,3,3,3,3,3
ฉันรู้สึกเหมือนทำอะไรไม่ถูกเลย,4,4,4,0,4,4
ดีใจ ก็เหี้ยละทำสุขภาพจิตกูชิบหายขนาดนี้,3,3,3,3,3,3
กุทำประจำ 555555555555555555,1,1,1,1,1,1
ให้กำลังใจคนอื่น ทั้งๆที่ตัวเองไม่เหลือเหี้ยไรละ,0,0,0,0,0,0
ใจมึงมันเหี้ยมาก ล้อเลียนคนสมองพิการไม่พอ มึงยังไปต่อยหน้าเขาอีก สัส,3,3,3,3,3,3
ผู้คนโดยเฉพาะไอเหี้ยนั่น เป็นห่าเหวอะไรกันหมด,3,3,3,3,3,3
อุ้ย ปะปี๊ ทำแบบนี้ทำไม มันหล่อเนี่ย,5,5,5,5,5,5
ไอเหี้ย จนวันสุดท้ายพี่เค้าก็แรงต่อเนื่อง,5,5,5,5,5,5
ส้นตีนมากจริงๆ ไอ้เหี้ยนี่ลักลอบขนอสุจิไปที่ลาวกับกัมพูชา เป็นแก๊งค์ค้ามนุษย์ อุ้มบุญข้ามชาติ มีคนจีนเป็นนายทุนอยู่เบื้องหลัง จีนเทาเต็มประเทศไปหมดแล้ว สารเลวมากจริงๆ!!!!!,3,3,3,3,3,3
คือแอบตกใจเพราะใกล้เกิน พี่ฮาร์ทฮีลงมาเล่นกับเพื่อน5555555 ,5,1,1,1,5,1
ไปเจอฉากนี้มาใน​ Netflix จากเรื่องมหาลัยเที่ยงคืน​ แอบตกใจเล็กๆเพราะเซตติ้งเอย​ ฟีลลิ่งเอย​ มีความคล้ายคลึงฉากใน​ Moon​ Knight​ ตอนที่​ มาร์ค สเปคเตอร์อยู่ในนิมิตโรงพยาบาลบ้ามากๆ​ คือถ้าฉากนี้เขาปรับมู้ดแอนด์โทนกับซาวด์เอฟเฟกต์ให้วังเวงมากขึ้นนะ​ ได้ติดอันดับฉากสยองขวัญแน่ๆ,5,5,5,5,5,5
ละดูตอนนั้นจิพิเตนล์พูดอะไรน้องชิอนก็พยักหน้าหงึกๆ น่ารัก,2,1,2,2,2,2
ความน่ารักน้อ น้องชอบบ๊ายบายข้างหลังงี้มาก เวลารีบๆ ต้องไปแล้วแต่ไม่ทอดทิ้งคนข้างหลังเว่อ ฮื่อ น่ารัก ,2,2,2,2,2,2
ไปเป็นเพลงได้ไงไม่รู้ แต่ปั่นสะบัด กุซิกจนหน้าจะไม่เป็นมนุดอยู่ละ,1,1,1,1,1,1
ไปค่ะ 1 หมื่น เพื่อ 1.2M ไม่สรุปก็ปั่นต่อ 5555555555,1,1,1,1,1,1
ขี่แล้ว ปั่นอยู่ ขับต่อ น้องอึนโฮรับตำแหน่งสารถีบ่หนิ555555555555,1,1,1,1,1,1
โคตรเศร้าที่เราต้องจบคสพกัน แบบที่เรายังอยากมีกันตลอดไป,0,0,0,0,0,0
ฟังเพลงรักได้ไม่กี่วัน กูต้องมาฟังเพลงเศร้าอีกละหรอเนี่ย,0,0,0,0,0,0
เฟรมนี้มีแต่อะไีรน่ารักเต็มไปหมด พี่ลีอายืนโบกไลท์ริง ฮันยอนจินยืนเต้นตอนเพลงเค้ก รักความสัมพันธ์พวกนี้สุดๆ,2,1,2,2,2,2
มุขแบบไทยจ๋ามาก ปั่นมากกก ซงซานเด่กเกาหลี ท้อกะพี่ละอะ 555555555555 ฟีลแบบล่กๆ ขะขะขะขะขะขอ พะพะพะพะพาวเว่อ บะะบะบะบะบง 1 ครับ ยะยะยะยอช เอ้ยยยย 55555555555,1,1,1,1,1,1
คุณ GBA คิมโดยองไปหน้าช็อปฉลอง 1M ค่า หล่อ น่ารัก ดูดีสุดๆ !!,2,1,1,2,2,2
55555555คนที่ใช่ไม่ต้องพยายาม แม้แต่จะยื่นมือมาพยุงยังไม่มี สาแก่ใจกูยิ่งนัก #อุงเอิง,1,1,1,1,1,1
นี้คือหลักฐานที่เจ้าของรูปบอกมาค่ะ วันที่ถ่ายก็คือตอนมีดราม่าแล้ว ไม่เห็นว่าจะรู้สึกเสียใจกับสิ่งที่ตัวเองทำเลยสักนิด #อุงเอิง,3,3,3,3,3,3
และนี้คือสิ่งที่เราไปเจอหน้างาน  เราเป็นคนแรกที่เข้าไปนั่งแล้วถูกเชิญออก นี้คือสิ่งที่ร้านทำ 😏 เข็ดแล้ว ถ้าไม่ได้แนะนำอย่าซื้อพวกร้านแบบนี้ ประวัติร้านดีเห็นกดคอนอื่นๆ อีก เสียความรู้สึกสุดๆ #buybybei,0,0,0,0,0,0
คำพูดโคตรน่ารังเกียจ #อุงเอิง,3,3,3,3,3,3
คนไทยไปหาหมอเหอะอีดอก ประหลาดขึ้นเรื่อยๆละ ตามดราม่าจนสมองกลับมั้ง,3,3,3,3,3,3
"เอ็นดูแมวที่สวมเสื้อ ""I still live with my parents"" ดีแล้วลูก เศรษฐกิจแบบนี้อย่าหนีออกไปเป็นแมวจรเลย  ลำบากทาสประกาศตามหานะ 😂😂😂",1,1,1,1,1,1
ทุกคนมาดูความปัง ความจึ้ง ความแส่บนี้ โอ้ยไม่รู้จะอวยอะไร พีพีทำถึงเกินอะ ชอบ ถูก!,1,1,1,1,1,1
พ่อนี่ทะเลาะกับมิจการไฟฟ้า ละนางมิจโทรกลับมาทำเป็น Kerry บอกว่ามีพัสดุยาว 2 เมตร เป็นโลงศพ เพราะพ่อคุณตาย ละกดวางสาย เหี้ยมากกก 555555555,1,1,1,1,1,1
น่ารักมาก ㅠㅠ ยัยแก้งนี้ ฮือ เอ็นดูอะ หลุดขำไปไม่รู้กี่รอบ แต่ก็ยังออกมาน่ารัก 🤏🏻💖✨,2,2,2,2,2,2
ดีใจจัง คนพี่คือโดนมาตลอดว่าไม่เล่นอะไร ไม่สนิทกับคนในวง แล้วดูวันนี้ดิ ดูสนิทใจที่จะเล่นกับน้องมาก น่ารักมากจัง😭😭😭,2,2,2,2,2,2
คนเราร้องไห้ได้ทุกวัน ทุกวันที่อยากร้อง บางทีเราก็ไม่ได้เศร้าเสียใจนะ แค่รู้สึกว่าชีวิตมันเต็มแก้วก็เลยร้องไห้ให้มันออกไปสักหน่อย วันที่ไม่ได้ดั่งใจ จุกจิก มู่ทู่ ร้องหมดไม่สน,0,0,0,0,0,0
ฉันแค่เหนื่อย เหนื่อยทุกอย่าง ในใจมันเศร้า มันพังไปหมด,0,0,0,0,0,0
น่าเศร้าแค่ไหน แม้แต่เจ็บป่วยก็ไม่มีสิทธิ์,0,0,0,0,0,0
นางแบบตัวเต็ง ตัวมัม ตัวเริ่ด ตัวเป้งของแม่ รักน้องแน็กที่สุดในโลกมาก แค่ได้เจอแปปเดียวก็มีแฮงใจ เห้อออออ🤍🤏🏻,2,2,2,2,2,2
ที่ฮ่องกงเกิดคดีฆาตกรรมที่น่ากลัวมาก เมื่อผู้หญิงคนนึงไปเดินห้างกับแฟน แต่กลับมีผู้ชายถือมีดมาไล่แทงจนตายคาที่!,4,4,4,4,4,4
อเมริกามีคดีฆาตกรแม่เลี้ยงใจร้ายที่น่ากลัวมากและกลายเป็นประเด็นใหญ่ ภาพที่เห็นอยู่นี้คือแม่เลี้ยงใจร้ายที่ลงมือฆาตกรรมเด็กผู้หญิงหกขวบแล้วใส่รถลากไปทิ้ง,4,4,4,4,4,4
เรือลำนี้มีคนตายร่วม 49 คน ถูกเรียกว่าเป็นบ้านผีสิงลอยน้ำ และยังอาจเคยเกิดคดีฆาตกรรม จนเชื่อว่าเรือนี้เต็มไปด้วยวิญญาณและต้องทำพิธีไล่ผีมากกว่า 50 ครั้ง! ,4,4,4,4,4,4
ผักสดจากต้นของจริง ขนาดเมื่อวานเจอตัวเท่าขี้เล็บยังตกใจ ถ้าเจอไซซ์แบบจขทว.คงช็อกคาร้าน 🫠🫠,5,5,5,5,5,5
อมกๆๆๆๆๆๆ ที่ตกใจด้วยคือพิไอซ์ก็มาดูน้องเตนล์อะ ร่วมงานกันครั้งเดียวเอง ย้งมาซัพพอร์ตกัน น่ารัก แล้วดูแววตาที่เค้าดูเตนยิ้มในแมสก์แน่ๆอะ ,5,5,5,5,5,5
อยู่ๆ หนูก็ โผล่มา เซอร์ไพรส์ เกิน ตั้งตัวไม่ทัน #แจมรชตะ,5,5,5,5,5,5
ตั้งแต่ติ่งมาไม่เคยเห็นโมเม้นสปอยอะไรแบบนี้เลย5555555 มีแต่แบบอึ้ง เซอร์ไพรส์ ตอนที่ทุกอย่างเสร็จหมดแล้ว,5,5,5,5,5,5
ละเกลค่ดน่ารักกก บอกให้นกยูงใจเย็นๆ เดี๋ยวน้องไปหาอาหารให้ ใจเย็นๆ เดี๋ยวน้องเกลไปหาอาหารห้ายยยย คือเป็นเด็กที่ช่างพูด ฉลาด ละน่ารักอะไรขนาดนี้อะเกลลลลล หลงมากกๆๆๆๆ,2,2,2,2,2,2
ว่ากันว่าคนไทยมีความรุ่มรวยทางภาษา คลิปนี้ทำให้เห็นว่า ภาษาไทยดิ้นได้ถึงไหน MVP สุด ดูกี่ทีก็ขำ 🤣🤣🤣,1,1,1,1,1,1
มึง น้องหมีมากอดพี่เขา เพราะพี่เขาช่วยชีวิตน้องไว้จากไฟป่า น้องกอดไม่ยอมปล่อยเลยอ่าา😭😭😭😭😭,0,0,0,0,0,0
ขอสมน้ำหน้าอิพ่อ เวรกรรมในรูปแบบลูกเริ่มทำงานละ,3,3,3,3,3,3
รีรันตอนพี่นุ่นแชทมาขอโทษ นางแคปทั้งแชท ทั้งออกมาถ่ายคลิปพูดเยอะไปหมด !!! *** พอตอนตัวเองก่อเรื่อง ขอโทษในสตอรี่ไอจี แล้วอวยตัวเองตอนจบ สั้นๆ ง่ายๆมาก !!!! 🙄 #อุงเอิง,3,3,3,3,3,3
4500 คือมีจริงมั้ยพี่ ถ้าไม่ขายก็บอกกันดีๆก็ได้ #ฉันเคยบอกกับเธอหรือยัง,3,3,3,3,3,3
ใครทำพี่ผม!!!! น้องจิ๋วนี่ใช่มั้ย!!!55555555,5,1,1,1,1,1
ทำผมได้ แต่อย่ามาทำคนที่ผมชอบ กับเด็กก็ไม่เว้น 555555555555555555555555555555555555555555555555555555555555 ,1,1,1,1,1,1
ลุคโหดๆ สนุกสนานสุดๆ,1,1,1,1,1,1
น่าเกลียดไปมั้ย เคอร์ยังตอบแบบเลี่ยงๆว่าบรรยากาศแตกต่าง แอ้มตอบชัดๆตรงๆว่าสบายใจที่เคอร์ไปอยู่อีกทีม เพราะไม่ชอบใจ คนแบบนี้โคตรไม่น่าคบหาเลย ไม่มีความมืออาชีพด้วย การทำงานมันไม่มีทางที่จะได้อยู่แต่กับคนที่ตัวเองชอบ แต่เค้าไม่คิดจะรักษาบรรยากาศในการทำงานเลย #HellsKitchenThailand,3,3,3,3,3,3
#อุงเอิง มึงกูไม่ได้บูลลี่นะ แต่กูกลัว ช่วยกูด้วยยยยยยย,4,4,4,4,4,4
คือนี่อยากรู้มากว่าทำไมแม้แต่พ่อยังดูกลัวฮารินอะ กลัวแบบตัวหดเลย บทฮารินคือจิตมากแล้วพี่ดาอาทำถึงสุดๆๆๆ เรื่องแรกได้ขนาดนี้คือเก่งมากเลยอ่ะ,5,5,5,5,5,5
ห๊าาาา แตะพี่จินก็กลัวแล้วแต่ยังต้องเดินอ่ะ เอเอหลบแบบตัวหดนิดเดียว โกดดดด,3,3,3,3,3,3
โหมดนางแบบชีทำถึงเกินอะ สู้กล้อง สู้แฟลช สู้ลม แถมท่าโพสสับมาก ปวดเอวไม่กลัว กลัวไม่สวยค่ะ เชิ่ด เรามันตัวแม่,5,5,5,5,5,5
ม๋าแดงมันกลัวเงาตัวเอง 555555555555 ฮือ ยังเร้กอยู่มาก เพิ่งเคยเหนคับ ตุวไรอะ ,1,1,2,1,2,1
มึง น่ากลัวอะ มันเหมือนจ้องหน้าทุกคนที่จ้องมัน แล้วก็ลอยมาหาอะ กลัว5555555555555555,4,4,4,4,4,4
เอ้าน้ำตาแตกเฉย ฮือออน้องเป้อน่ารักมาก,2,2,2,2,2,2
ไอยูกับน้องข้าว Love119 น่ารักมาก สลับกันเต้นคนละเพลงนะคับนูน่า 555555555555,2,2,2,2,2,2
น่ารักเกิ้นนนน ยิ้มหวานฟันสวยมู่จู้,2,2,2,2,2,2
ฉันวาดไม่ทันวาเลนไทน์ ฉันเศร้ามาก *ปิดหน้าร้องไห้*,0,0,0,0,0,0
เหงา เศร้า ก้อมีแต่เหล้า ที่อยู่เคียงข้างตลอด,0,1,0,0,1,0
